,dataset,n_samples,n_features,n_anomaly,pct_anomaly,domain,kernel,batch_size,learning_rate,loss,anomaly_type,noise_type,noise_ratio,latent_dim,layers,n_inducing,n_epochs,elbo,auc_roc,auc_pr,training_time,inference_time
792,34_smtp,95156,3,30,0.03,Web,rbf,128,0.01,normal,normal,normal,0,1,"5,5",25,1000,4.236815071105957,0.31243747915971903,0.000484730974309,13.911590576171875,0.008917570114135001
828,35_SpamBase,4207,57,1679,39.91,Document,rbf,128,0.01,normal,normal,normal,0,15,"5,5",25,1000,83.66936264038085,0.6009264487525351,0.44809574162825505,27.284074068069458,0.016981840133666
850,36_speech,3686,400,61,1.65,Linguistics,rbf,128,0.01,normal,normal,normal,0,7,"10,10,10",50,1000,582.4758361816406,0.472937091503268,0.017227715594212,37.7448616027832,0.034224033355712
878,37_Stamps,340,9,31,9.12,Document,rbf,128,0.01,normal,normal,normal,0,4,"5,5",100,1000,11.593542194366455,0.9489454545454541,0.5444161542518641,14.084997177124023,0.010140657424926001
899,38_thyroid,3772,6,93,2.47,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10,10",100,1000,7.554176330566406,0.966970755693581,0.553567916546965,18.22881007194519,0.008812427520751
924,39_vertebral,240,6,30,12.5,Biology,rbf,128,0.01,normal,normal,normal,0,3,"5,5",25,1000,8.12914776802063,0.41663461538461505,0.10976654586860601,11.202348232269287,0.005775928497314
949,40_vowels,1456,12,50,3.43,Linguistics,rbf,128,0.01,normal,normal,normal,0,6,"5,5",50,1000,14.631663131713868,0.8684044233807261,0.5231291899978611,14.081450700759888,0.007416009902954001
978,41_Waveform,3443,21,100,2.9,Physics,rbf,128,0.01,normal,normal,normal,0,10,"15,15",25,1000,26.048856830596925,0.6792622133599201,0.076096366573926,21.72427988052368,0.011170625686645001
1005,42_WBC,223,9,10,4.48,Healthcare,rbf,128,0.01,normal,normal,normal,0,4,"10,10,10",25,1000,9.846451330184937,0.9871348164031091,0.875507392815084,11.981176614761353,0.006166458129882001
1021,43_WDBC,367,30,10,2.7199999999999998,Healthcare,rbf,128,0.01,normal,normal,normal,0,15,"5,5",50,1000,40.04484939575195,0.9882758620689651,0.7548039215686271,19.388455152511597,0.009234428405761
1043,44_Wilt,4819,5,257,5.33,Botany,rbf,128,0.01,normal,normal,normal,0,1,"10,10,10",100,1000,7.167966485023498,0.27830533235938604,0.0341360876471,13.828940868377686,0.008521556854248
1069,45_wine,129,13,10,7.75,Chemistry,rbf,128,0.01,normal,normal,normal,0,6,"5,5",50,1000,16.44368953704834,0.942330917874396,0.588958436886866,13.12013292312622,0.006687402725219001
1103,46_WPBC,198,33,47,23.74,Healthcare,rbf,128,0.01,normal,normal,normal,0,15,"10,10,10",100,1000,65.39415168762207,0.48533333333333306,0.276422489687147,19.238484144210815,0.010645627975463002
1125,47_yeast,1484,8,507,34.16,Biology,rbf,128,0.01,normal,normal,normal,0,4,"10,10,10",25,1000,11.866989612579346,0.44430272108843505,0.314859182112592,12.022563219070435,0.0067975521087640005
