,IForest,KNN,CBLOF,PCA,ECOD,GPLVM
01_ALOI,0.4844741027277982,0.5616257238807943,0.5211450632557543,0.5309365780317998,0.5129099157975061,0.5111571137696955
02_annthyroid,0.918109375,0.813665625,0.6983718750000001,0.8282125000000001,0.8488312499999999,0.7015374999999999
03_backdoor,0.7379483455873515,0.9171086608418006,0.7976620391519481,0.7731475915925735,0.8425410778086065,0.7573944864131872
04_breastw,0.9877989969135802,0.9911265432098765,0.9884741512345678,0.9878954475308642,0.9870273919753086,0.9915605709876544
05_campaign,0.7025199249750125,0.7495061911461913,0.7266636406135569,0.758704336122811,0.7610678269806971,0.7433325900260233
06_cardio,0.9498120800273339,0.9356136820925552,0.9634789871303291,0.9743365855510421,0.959530769522797,0.9612011692798299
07_Cardiotocography,0.8041702741702742,0.7206060606060606,0.7692063492063491,0.8510822510822511,0.8587734487734487,0.7588455988455989
08_celeba,0.778735032644483,0.7886759519823318,0.8291495132587998,0.8392659952877956,0.8155472212751449,0.8314038399886012
09_census,0.6242628774422735,0.708148432624454,0.6728491191013393,0.726231097882963,0.6772387307378426,0.6680908261725313
10_cover,0.8953335171737599,0.9721175353126821,0.9244824381325898,0.9398637538172423,0.9289048217258531,0.936554626140066
11_donors,0.9371927718180948,0.9893987245408434,0.9277421066826752,0.882972707262113,0.931933460357233,0.9278225841533335
12_fault,0.6643148566825187,0.7870637457446533,0.7216028689483122,0.5439177776045321,0.5102777994334866,0.7506691614043294
13_fraud,0.9364273789649417,0.9454424040066778,0.9427712854757929,0.9445075125208682,0.9463772954924874,0.9493155258764607
14_glass,0.8153507392261717,0.9339414910349166,0.863479081472161,0.6844919786096257,0.7153192827933312,0.8776344762503931
15_Hepatitis,0.8465233482951414,0.9798409323568784,0.9083392393101819,0.8899913379006221,0.8485707536026458,0.9964564138908575
16_http,0.9949731903485255,0.9996648793565683,0.9966487935656836,0.9996648793565683,0.9896112600536193,0.9969839142091153
17_InternetAds,0.44427083333333334,0.7428977272727273,0.6320075757575758,0.8381439393939394,0.7368939393939393,0.6383333333333333
18_Ionosphere,0.9447368421052631,0.9757894736842105,0.9933971291866028,0.9273205741626795,0.8177033492822967,0.9872727272727273
19_landsat,0.5926894186806009,0.7646652514696277,0.7028396472893532,0.4153641410842587,0.41105160026126714,0.6210320052253429
20_letter,0.6128148148148148,0.8757777777777778,0.8001481481481482,0.5362962962962963,0.5851851851851853,0.8362222222222222
21_Lymphography,0.996003996003996,0.997002997002997,0.9992507492507492,0.9992507492507492,0.9935064935064936,0.9997502497502497
22_magic.gamma,0.7526936079512184,0.8313323209531468,0.7517967145790554,0.6917077864788688,0.6355699713462575,0.7690792350153419
23_mammography,0.8924720126795602,0.8907466294839901,0.8400334042211701,0.9045747732926731,0.9099716114276545,0.8640608699141321
24_mnist,0.8622887493964269,0.9325354671081373,0.8894575889264444,0.9067531213354487,0.7920604262950955,0.9095077142397278
25_musk,0.9199147617202634,1.0,1.0,1.0,0.9998837659821774,1.0
