,IForest,KNN,CBLOF,PCA,ECOD,GPLVM
01_ALOI,0.4965812805276538,0.5570057306049055,0.523200072529739,0.530071509789626,0.5123961634790098,0.5288437928520431
02_annthyroid,0.8263874999999999,0.7911374999999999,0.700228125,0.692759375,0.803715625,0.6466093749999999
03_backdoor,0.7373424569266056,0.7944835280031161,0.81217932380902,0.765126779797941,0.8308224217273598,0.8292355704730259
04_breastw,0.9799382716049383,0.9506172839506172,0.9527874228395061,0.9553915895061729,0.9873649691358025,0.9587673611111112
05_campaign,0.6965070593442219,0.7307431526115555,0.7225886563758221,0.7248400851671706,0.7450712499674568,0.7174802108577955
06_cardio,0.944193462662769,0.7346721840476823,0.6722599749440037,0.961087278387305,0.9428267719524696,0.8539918757829998
07_Cardiotocography,0.7087734487734486,0.5204473304473305,0.5956854256854256,0.7823520923520922,0.8127561327561328,0.6463059163059164
08_celeba,0.7368137152627587,0.7647052836736875,0.7634025576176398,0.829490461093781,0.8085857789131399,0.819592796332012
09_census,0.620218904517306,0.6787585809610677,0.6667293936920935,0.6625836493687293,0.6577600691277423,0.66321347990975
10_cover,0.8851303735024666,0.8845482121518522,0.9044131915719378,0.9250850261972607,0.8975600290059339,0.9347264352319964
11_donors,0.7927139613186125,0.8448949007734537,0.8283176293512211,0.8271735442278078,0.9040817303091204,0.8035653694568422
12_fault,0.5673059431927445,0.7142875704893323,0.6393025129284582,0.48017203295132665,0.4812115069774694,0.631116654972584
13_fraud,0.9495826377295493,0.9454424040066778,0.9541235392320534,0.9444407345575959,0.945041736227045,0.9429048414023372
14_glass,0.8128342245989305,0.738597043095313,0.8279333123623781,0.6571248820383768,0.6920415224913494,0.7656495753381567
15_Hepatitis,0.7604535790219702,0.4678714859437751,0.7491928498306955,0.7912434049925191,0.7637609260571698,0.6151665485471297
16_http,1.0,0.0013404825737265424,0.9966487935656837,0.9973190348525469,0.9765415549597856,0.9969839142091153
17_InternetAds,0.7178598484848484,0.6302462121212121,0.6275378787878787,0.6262500000000001,0.6990719696969697,0.628844696969697
18_Ionosphere,0.8603349282296651,0.8619138755980863,0.9165071770334928,0.8135406698564593,0.7500478468899522,0.9361722488038278
19_landsat,0.4778184193337688,0.5825146962769432,0.6249444807315481,0.3728576094056173,0.37633409536250817,0.5348203788373612
20_letter,0.5951851851851852,0.8638518518518519,0.7782222222222223,0.526962962962963,0.5773333333333334,0.8268148148148148
21_Lymphography,0.997002997002997,0.5058691308691309,0.9977522477522478,0.9992507492507493,0.9905094905094906,0.9428071928071928
22_magic.gamma,0.7206801750454791,0.7899805591773956,0.7104024991997252,0.6509342720622107,0.617377382281525,0.6838592375137608
23_mammography,0.8495029492015087,0.8581499277746569,0.8149200505577402,0.8939817229756841,0.9074838496107857,0.8219845919268116
24_mnist,0.8031362810696466,0.8619047619047618,0.8506150697845531,0.8588305626451449,0.7537053643282519,0.8580510910303281
25_musk,1.0,0.8181712514529252,1.0,1.0,0.9645486245641225,1.0
26_optdigits,0.8253654970760234,0.3771783625730994,0.8039473684210526,0.516608187134503,0.610014619883041,0.4819152046783625
27_PageBlocks,0.889959624350309,0.8440072274643646,0.923843940306498,0.8935644337370898,0.9123826094715475,0.9038769546498918
28_pendigits,0.9577426102389656,0.7473747596610957,0.9640917830505611,0.9335819476430941,0.926186904434913,0.8117538929620317
29_Pima,0.6516391458040773,0.6746162413442448,0.6249576291705001,0.6264587671299211,0.5927557987506659,0.6201152486562393
30_satellite,0.6994036105738234,0.6717043594703169,0.7244643654218121,0.609415761543421,0.5935748648514606,0.6801567227099142
31_satimage-2,0.996483942414175,0.9311738648947951,0.998062015503876,0.9861849390919158,0.9760797342192691,0.9647009966777409
32_shuttle,0.996860747786811,0.6994003181586527,0.6176446164592557,0.9937638298877001,0.9935423888602137,0.9653151708270985
33_skin,0.6405694541236527,0.7175503294843117,0.6640993973682445,0.4456080163111177,0.49061705479092577,0.7171105298788026
34_smtp,0.6132044014671557,0.7262420806935646,0.5921973991330444,0.19373124374791595,0.5598532844281428,0.0
35_SpamBase,0.6485572599703033,0.5196478239956501,0.5370291946378903,0.5521205847292805,0.6714165464165465,0.5445631260848652
36_speech,0.48427287581699346,0.4805964052287582,0.4666053921568627,0.46997549019607837,0.4694138071895425,0.47002655228758167
37_Stamps,0.9287272727272728,0.7888,0.6981818181818182,0.9374545454545454,0.9096727272727272,0.8333090909090909
38_thyroid,0.9753493788819876,0.9609860248447205,0.902529761904762,0.9621506211180125,0.980654761904762,0.9386322463768116
39_vertebral,0.4025961538461539,0.41750000000000004,0.4444230769230769,0.4095192307692308,0.4366346153846154,0.39490384615384616
40_vowels,0.7807266982622432,0.9649289099526066,0.8878357030015798,0.5660347551342813,0.5642969984202211,0.916745655608215
41_Waveform,0.6655367231638418,0.7662678630774344,0.7575606513791958,0.5919906945829179,0.5399800598205384,0.6927550681289465
42_WBC,0.9935674082015545,0.9138300723666578,0.962208523184133,0.9930313588850174,0.9924953095684803,0.9715893862235326
43_WDBC,0.9844827586206897,0.9475862068965517,0.980344827586207,0.9882758620689656,0.9782758620689657,0.9572413793103448
44_Wilt,0.42972878108013246,0.5882671017806154,0.3749632398281047,0.17328033544249757,0.3407833948374489,0.32048229345526646
45_wine,0.7653985507246377,0.4872433574879227,0.19444444444444445,0.8179347826086957,0.7404891304347826,0.4929045893719807
46_WPBC,0.507674074074074,0.42805925925925925,0.4673777777777778,0.4796444444444445,0.4875851851851851,0.515674074074074
47_yeast,0.4295560329394915,0.4132205513784461,0.49183225921947726,0.44405656999641957,0.4771974579305407,0.4180540637307554
